movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
Jonas Brothers: The 3D Concert Experi…,27-02-2009,Concert/Performance,G,38174685,
Race to Witch Mountain,13-03-2009,Adventure,PG,67172594,
Hannah Montana the Movie,10-04-2009,Drama,G,79576189,
Earth,22-04-2009,Documentary,G,32011576,
Up,29-05-2009,Adventure,PG,293004164,
The Proposal,19-06-2009,Romantic Comedy,PG-13,163958031,
G-Force,24-07-2009,Adventure,PG,119436770,
Gake no ue no Ponyo,14-08-2009,Adventure,G,15090399,
X Games 3D: The Movie,21-08-2009,Documentary,PG,1391434,
Walt and El Grupo,10-09-2009,Documentary,PG,20521,
Surrogates,25-09-2009,Action,PG-13,38577772,
Toy Story 3D Double Feature,02-10-2009,Adventure,G,30702446,
Disney's A Christmas Carol,06-11-2009,Drama,PG,137855863,
The Princess and the Frog,25-11-2009,Adventure,G,104400899,
Old Dogs,25-11-2009,Comedy,PG,49492060,
When in Rome,29-01-2010,Romantic Comedy,PG-13,32680633,
Alice in Wonderland,05-03-2010,Adventure,PG,334191110,
Waking Sleeping Beauty,26-03-2010,Documentary,PG,80741,
The Last Song,31-03-2010,Drama,PG,62950384,
Oceans,22-04-2010,Documentary,G,19422319,
Prince of Persia: Sands of Time,28-05-2010,Action,PG-13,90759676,
Toy Story 3,18-06-2010,Adventure,G,415004880,
The Sorcerer's Apprentice,14-07-2010,Adventure,PG,63150991,
Step Up 3D,06-08-2010,Drama,PG-13,42400223,
Gedo Senki (Tales from Earthsea),13-08-2010,Adventure,PG-13,48658,
You Again,24-09-2010,Comedy,PG,25702053,
Secretariat,08-10-2010,Drama,PG,59699513,
Tangled,24-11-2010,Adventure,PG,200821936,
Tron: Legacy,17-12-2010,Adventure,PG,172062763,
Gnomeo and Juliet,11-02-2011,Comedy,G,99967670,
I am Number Four,18-02-2011,Adventure,PG-13,55100437,
Mars Needs Moms,11-03-2011,Adventure,PG,21392758,
African Cats,22-04-2011,Documentary,G,15428747,
Zokkomon,22-04-2011,Adventure,PG,2815,
Prom,29-04-2011,Comedy,PG,10130219,
Pirates of the Caribbean: On Stranger…,20-05-2011,Adventure,PG-13,241063875,
Cars 2,24-06-2011,Adventure,G,191450875,
Winnie the Pooh,15-07-2011,Adventure,G,26692846,
The Help,10-08-2011,Drama,PG-13,169705587,
Fright Night,19-08-2011,Horror,R,18298649,
Real Steel,07-10-2011,Action,PG-13,85463309,
The Muppets,23-11-2011,Comedy,PG,88625922,
War Horse,25-12-2011,Drama,PG-13,79883359,
The Secret World of Arietty,17-02-2012,Adventure,G,19192510,
John Carter,09-03-2012,Adventure,PG-13,73058679,
Chimpanzee,20-04-2012,Documentary,G,28965459,
The Avengers,04-05-2012,Action,PG-13,623279547,
Brave,22-06-2012,Adventure,PG,237282182,
People Like Us,29-06-2012,Drama,PG-13,12431792,
The Odd Life of Timothy Green,15-08-2012,Drama,PG,51853450,
Frankenweenie,05-10-2012,Comedy,PG,35287788,
Wreck-It Ralph,02-11-2012,Adventure,PG,189412677,
Lincoln,09-11-2012,Drama,PG-13,182207973,
Oz the Great and Powerful,08-03-2013,Adventure,PG,234770996,
Iron Man 3,03-05-2013,Action,PG-13,408992272,
Monsters University,21-06-2013,Adventure,G,268488329,
The Lone Ranger,02-07-2013,Western,PG-13,89302115,
Disney Planes,09-08-2013,Comedy,PG,90282580,
The Fifth Estate,18-10-2013,Drama,R,3254172,
Thor: The Dark World,08-11-2013,Adventure,PG-13,206362140,
Kaze Tachinu,08-11-2013,Drama,PG-13,5201879,
Frozen,22-11-2013,Adventure,PG,400738009,
Delivery Man,22-11-2013,Comedy,PG-13,30659817,
Saving Mr. Banks,13-12-2013,Drama,PG-13,83299761,
Need for Speed,14-03-2014,Action,PG-13,43568507,
Muppets Most Wanted,21-03-2014,Comedy,PG,51178893,
Captain America: The Winter Soldier,04-04-2014,Action,PG-13,259746958,
Bears,18-04-2014,Documentary,G,17780194,
Million Dollar Arm,10-05-2014,Drama,PG,36447959,
Maleficent,30-05-2014,Adventure,PG,241407328,
Planes: Fire and Rescue,18-07-2014,Adventure,PG,59157732,
Guardians of the Galaxy,01-08-2014,Adventure,PG-13,333172112,
The Hundred-Foot Journey,08-08-2014,Romantic Comedy,PG,54235441,
"Alexander and the Terrible, Horrible,…",10-10-2014,Comedy,PG,66954149,
Big Hero 6,07-11-2014,Adventure,PG,222527828,
Into the Woods,25-12-2014,Musical,PG,128002372,
Strange Magic,23-01-2015,Adventure,PG,12429583,
"McFarland, USA",20-02-2015,Drama,PG,44480275,
Cinderella,13-03-2015,Drama,PG,201151353,
Monkey Kingdom,17-04-2015,Documentary,G,16432322,
Avengers: Age of Ultron,01-05-2015,Action,PG-13,459005868,
Tomorrowland,22-05-2015,Adventure,PG,93436322,
Inside Out,19-06-2015,Adventure,PG,356461711,
Ant-Man,17-07-2015,Action,PG-13,180202163,
Bridge of Spies,16-10-2015,Thriller/Suspense,PG-13,72313754,
The Good Dinosaur,25-11-2015,Adventure,PG,123087120,
Star Wars Ep. VII: The Force Awakens,18-12-2015,Adventure,PG-13,936662225,
The Finest Hours,29-01-2016,Thriller/Suspense,PG,27569558,
Zootopia,04-03-2016,Adventure,PG,341268248,
The Jungle Book,15-04-2016,Adventure,PG,364001123,
A Beautiful Planet,29-04-2016,Documentary,G,7895708,
Captain America: Civil War,06-05-2016,Action,PG-13,408084349,
Alice Through the Looking Glass,27-05-2016,Adventure,PG,77042381,
Finding Dory,17-06-2016,Adventure,PG,486295561,
The BFG,01-07-2016,Adventure,PG,55483770,
Pete’s Dragon,12-08-2016,Adventure,PG,76233151,
The Light Between Oceans,02-09-2016,Drama,PG-13,12545979,
Queen of Katwe,23-09-2016,Drama,PG,8874389,
Doctor Strange,04-11-2016,Adventure,PG-13,232532923,
Moana,23-11-2016,Adventure,PG,246082029,
Rogue One: A Star Wars Story,16-12-2016,Adventure,PG-13,529483936,
